Game Title,Min Players,Max Players,Min Time,Max Time,Age,Rule Complexity,Game Mechanics,Theme,Image,Game Summary
Arkham Horror: The Card Game – Undimensioned and Unseen: Mythos Pack,1,4,60,120,14+,3.5556,,,,
Arkham Horror: The Card Game – Where Doom Awaits: Mythos Pack,1,2,60,120,14+,3.7778,,,,
Arkham Horror: The King in Yellow Expansion,1,8,240,240,12+,3.1888,,,,
Arkham Horror: The Lurker at the Threshold Expansion,1,8,240,240,14+,3.3238,,,,
Arkham Noir: Case #1 – The Witch Cult Murders,1,1,30,30,12+,1.875,,,,
Arkham Noir: Collector Case #1 – The Real Leeds,1,1,30,30,12+,2,,,,
Armageddon War,1,2,60,0,16,3.1667,,,,
Armageddon War: Burning Lands Expansion,1,2,60,60,,3,,,,
Arraial,1,4,30,30,8+,1.25,,,,
Asgard's Chosen,1,4,90,90,10+,3.1765,,,,
Assembly,1,2,10,20,8+,1.2,,,,
Assembly: Glitches,1,2,10,20,,0,,,,
Atlantis: Island of Gods,2,4,30,45,,2,,,,
Aton,2,2,30,30,10+,2.103,,,,
AuZtralia,1,4,30,120,10+,2.9385,,,,
Awful Fantasy Adventures,1,4,30,60,12+,1.3333,,,,
Awful Fantasy: The Card Game,2,6,20,45,,1,,,,
Azul,2,4,30,45,8+,1.806,,,,
Azul: Stained Glass of Sintra,2,4,30,45,8+,1.9636,,,,
Bad Medicine,3,8,30,30,16+,1.5,,,,
Bad Medicine: Second Opinion,3,8,30,30,16+,1.5,,,,
Baldrick's Tomb,1,4,30,30,5+,1.5455,,,,
Baldrick's Tomb: Open for Business,1,4,30,30,,0,,,,
Baseball Highlights: 2045,1,4,45,45,8+,2.1897,,,,
Bellum,2,2,0,0,12+,2.6667,,,,
Betrayal at House on the Hill,3,6,60,60,12+,2.3693,,,,
Betrayal at House on the Hill: Widow's Walk,3,6,60,0,14+,2.4444,,,,
Big Trouble in Little China: The Game,1,4,60,120,12+,2.9,,,,
Bios: Genesis,1,4,60,120,12+,4.2857,,,,
Bios: Megafauna (Second Edition),1,4,90,180,14+,4.5818,,,,
BioShock Infinite: The Siege of Columbia,2,4,60,60,14+,2.8958,,,,
Black Hands of Hathoway,2,4,15,15,,1,,,,
Black Orchestra,1,5,90,90,12+,2.3676,,,,
Black Sonata,1,1,30,30,12+,2.0667,,,,
Blueprints,2,4,30,30,8+,1.6767,,,,
Bob Ross: Art of Chill,2,4,30,30,12+,1.76,,,,
Bottom of the 9th,1,2,5,20,8+,1.6863,,,,
Bottom of the 9th: Clubhouse Expansion,1,2,5,15,,3,,,,
Bottom of the 9th: Hitters Pack,2,2,5,20,,3,,,,
Bottom of the 9th: Pitchers Pack,2,2,5,20,,3,,,,
Brass Empire,1,5,30,60,14+,2.2857,,,,
Brass: Birmingham,2,4,60,120,14+,3.8726,,,,
Brass: Lancashire,2,4,60,120,14+,3.873,,,,
Broadhorns: Early Trade on the Mississippi,2,4,60,90,10+,2.5,,,,
Bubblee Pop,1,2,20,20,6+,1.5333,,,,
Buffy the Vampire Slayer: Friends and Frenemies,1,6,40,60,10+,2.6,,,,
Buffy the Vampire Slayer: The Board Game,1,6,40,60,10+,2.625,,,,
Build A Cure,1,6,30,90,8+,2.5,,,,
Burger Time: The Card Game,1,2,15,30,,0,,,,
BUS,2,3,20,20,8+,1.4211,,,,
Bushido,2,2,20,30,8+,1.67,,,,
By Order of the Queen,2,4,90,120,10+,2.67,,,,
Camp Grizzly,1,6,60,60,14+,2.0769,,,,
Camp Grizzly: Expansion #1 – Spin The Bottle,1,6,60,60,,0,,,,
Camp Grizzly: Expansion #2 – Keep Your Distance,1,6,60,60,,0,,,,
Camp Grizzly: Expansion #3 – Behind the Bear,1,6,0,0,,0,,,,
Camp Grizzly: Expansion #4 – Jump the Bear,1,6,0,0,,0,,,,
Camp Grizzly: Expansion #5 – Rated R,1,6,0,0,,0,,,,
Campy Creatures,2,5,20,30,10+,1.37,,,,
Campy Creatures: Expansion 1,2,5,20,30,10+,2,,,,
Can't Stop Express,1,4,30,30,12+,1.25,,,,
Cantankerous Cats,2,6,20,60,,1.6667,,,,
Carcassonne,2,5,30,45,8+,1.9251,,,,
Card City XL,1,4,20,60,10+,2.8571,,,,
Cards Against Humanity,4,30,30,30,16+,1.2202,,,,
Castle Panic,1,6,60,60,10+,1.67,,,,
Cat-opoly,2,6,60,180,8+,1.5,,,,
Catan Dice Game,1,4,15,15,8+,1.2364,,,,
Cave Pilot 55,1,4,30,100,16+,2.6667,,,,
Cavern Tavern,1,6,60,120,8+,2.4828,,,,
Centauri Saga,1,4,60,90,12+,3,,,,
Centauri Saga: Abandoned,1,4,60,90,,0,,,,
Cerebria: The Inside World,1,4,60,120,16+,4.2917,,,,
Checkpoint Charlie,3,5,20,30,8+,1.3333,,,,
Cheeky Monkey,2,6,15,15,7+,1.15,,,,
Choose Your Own Adventure: House of Danger,1,99,60,60,8+,1.05,,,,
Christmas Lights: A Card Game,2,6,10,30,6+,1.5,,,,
Chronicles of Crime,1,4,60,90,12+,2.05,,,,
Chronicles of Crime: Noir,1,4,60,90,12+,2.5,,,,
Chronicles of Crime: Welcome to Redview,1,4,30,90,14+,2,,,,
Chronicles of Frost,1,4,60,80,,2.25,,,,
Churchill,1,3,60,300,14+,3.2571,,,,
City Council,2,5,60,60,12+,3,,,,
Clans of Caledonia,1,4,30,120,12+,3.4377,,,,
CO₂: Second Chance,1,4,60,120,12+,4,,,,
Code Triage,1,4,60,120,,2,,,,
Codenames,2,8,15,15,10+,1.3093,,,,
Colony,1,4,45,60,13+,2.36,,,,
Coma Ward,2,6,30,60,16+,2.75,,,,
Coma Ward: Cataclysmic Abominations Expansion,2,6,30,60,,0,,,,
Coma Ward: Mystery Guest Pack,2,6,30,90,18+,,,,,
Concept,4,12,40,40,10+,1.4218,,,,
Conquest of Planet Earth: Apocalypse,1,6,30,90,,2.625,,,,
Conquest of Planet Earth: The Space Alien Game,1,4,60,60,12+,2.2157,,,,
Consentacle,2,2,10,35,18+,1.3333,,,,
Construction Zone,2,4,20,20,,1.3,,,,
Cosmic Run: Rapid Fire,1,2,20,30,8+,2,,,,
Cottage Garden,1,4,45,60,8+,1.8785,,,,
Covil: The Dark Overlords,1,4,40,90,,3,,,,
Covil: The Dark Overlords – Chaotic Evil!,1,4,30,90,,0,,,,
Covil: The Dark Overlords – The Outposts,1,4,0,0,,0,,,,
Critters Below,1,6,30,60,12+,2.1429,,,,
Cross Hares: Testing Ground,2,4,60,60,8+,1.75,,,,
Cthulhu Fluxx,2,6,5,30,10+,1.4712,,,,
Cthulhu: Rise of the Cults,1,4,90,120,,3.25,,,,
Cubo,2,4,20,20,8+,1.7,,,,
Curio: The Lost Temple,2,5,10,15,,0,,,,
CVlizations,2,5,45,60,10+,1.9286,,,,
D-Day Dice,1,4,45,45,10+,2.056,,,,
Dark Darker Darkest,2,5,120,120,14+,3.2462,,,,
Dark Dealings,1,6,15,20,8+,1.7692,,,,
Dark Dealings: Dastardly Dragons & Gnome Illusionist,1,6,15,20,,0,,,,
Dark Dealings: Dwarven Delve,1,6,15,20,,0,,,,
Dark Dealings: Interactive Defenses & Flexible Defenses,1,6,15,20,,0,,,,
Dark Dealings: Overlords,1,6,15,20,,0,,,,
Dark Souls: The Board Game,1,4,90,120,14+,3.13,,,,
Dark Souls: The Card Game,1,4,45,60,12+,2.5217,,,,
Dark Souls: The Card Game – Forgotten Paths Expansion,1,4,45,60,,3,,,,
Darkest Night (First edition),1,4,150,150,10+,2.7846,,,,
Darkest Night (Second edition),1,5,120,180,10+,3.0625,,,,
Dawn of the Zeds (Third edition),1,5,90,120,12+,3.6923,,,,
Dawn of the Zeds (Third edition): Expansion Pack #1 –  Stepping Forward,1,4,90,120,,0,,,,
Dawn of the Zeds (Third edition): Expansion Pack #2 – New Player Blues Expansion,1,4,90,120,,0,,,,
Dawn of the Zeds (Third edition): Expansion Pack #3 – Rumors and Rails,1,4,90,120,,0,,,,
Days of Ire: Budapest 1956,1,4,60,90,10+,2.7188,,,,
De Stijl,2,5,20,30,8+,1.75,,,,
Dead Man's Cabal,2,4,60,90,8+,2.5,,,,
Dead Men Tell No Tales,2,5,60,75,8+,2.4519,,,,
Dead of Winter: A Crossroads Game,2,5,60,120,12+,3.0086,,,,
Dead of Winter: The Long Night,2,5,60,120,14+,3.4574,,,,
Death Wish,2,8,20,45,16+,2,,,,
Deck Box Dungeons,1,4,20,60,14+,2.14,,,,
Decrypto,3,8,15,45,12+,1.83,,,,
Deep Madness,1,6,60,120,14+,3.3095,,,,
Deep Madness: Devourer of Worlds Epic Monster,1,6,90,120,,3,,,,
Deep Madness: Endless Nightmares,1,6,60,120,14+,3,,,,
Deep Madness: Penitent and Forsaken Epic Monster,1,6,90,120,,3,,,,
Deep Madness: Rise of Dagon,1,6,60,120,14+,3,,,,
Deep Madness: The Oracle's Betrayal,1,6,60,120,,3,,,,
Deep Space D-6,1,1,30,30,8+,1.6731,,,,
Deep Space D-6: The Endless Expansion,1,1,30,30,,2,,,,
Defense Grid: The Board Game,1,4,60,120,12+,2.75,,,,
Desolate,1,1,15,20,8+,1.5,,,,
Desolate: Dark Matters Pack 1,1,1,15,20,,1,,,,
Desolate: Dark Matters Pack 2,1,1,15,20,,1,,,,
Detective: A Modern Crime Board Game,1,5,120,180,16+,2.7313,,,,
Detective: City of Angels,1,5,30,150,14+,2.55,,,,
Detective: City of Angels - Bullets Over Hollywood,1,5,30,150,14+,,,,,
Dice City,1,4,45,60,8+,2.044,,,,
Dice Fishing: Roll and Catch,2,5,15,20,,1,,,,
Dice Forge,2,4,45,45,8+,1.9356,,,,
Dice Hospital,1,4,45,90,10+,2.2143,,,,
Dice Hospital: Deluxe Add-Ons Box,1,4,45,90,,2,,,,
Dice Stars,1,4,15,25,8+,1.3571,,,,
Dig Down Dwarf (Second Edition),2,6,15,30,10+,2,,,,
Dig Down Dwarf: Gems of Norcia!,2,5,15,15,,1.125,,,,
Dino World,2,4,10,15,6+,1,,,,
Dinosaur Island,1,4,90,120,10+,2.9734,,,,
Dinosaur Island: Totally Liquid,1,5,90,120,10+,3.3077,,,,
Discover Lands Unknown,1,4,60,120,12+,2.22,,,,
Donning the Purple,1,3,70,90,,3.25,,,,
Draftosaurus,2,5,15,15,8+,1,,,,
Dragon Castle,2,4,30,45,8+,2.0357,,,,
Dragon's Breath,2,4,15,20,5+,1.08,,,,
Dragonfire,2,6,60,90,12+,3.1698,,,,
Dragonfire: Adventures – A Corruption in Calimshan,2,6,60,90,,0,,,,
Dragonfire: Adventures – Chaos in the Trollclaws,2,6,0,0,,0,,,,
Dragonfire: Adventures – Sea of Swords,2,6,60,90,,0,,,,
Dragonfire: Adventures – Shadows Over Dragonspear Castle,2,6,0,0,,0,,,,
Dragonfire: Campaign – Moonshae Storms,2,6,60,90,,0,,,,
Dragonfire: Character Pack – Heroes of the Sword Coast,2,6,0,0,12+,2,,,,
Dragonfire: Wondrous Treasures,2,6,0,0,12+,2,,,,
Dreadbound,2,4,45,60,14+,1,,,,
Dreamwars,1,8,60,300,,3,,,,
Dreamwars: Adventurer's Kit Expansion Set,1,8,60,300,,0,,,,
Dreamwars: Dark Times Decks,1,8,60,300,,0,,,,
Dreamwars: Horror Hunter Expansion Set,1,8,60,300,,0,,,,
Dual Powers: Revolution 1917,1,2,30,60,10+,2.2,,,,
Ducklings: A Game About Parenting!,2,4,15,50,,1,,,,
Duelosaur Island,2,2,30,45,10+,2.3333,,,,
Dungeon Alliance,1,4,60,180,12+,3.52,,,,
Dungeon Dice,2,5,20,20,8+,2.093,,,,
Dungeon Fighter,1,6,45,45,8+,1.7611,,,,
Dungeon Heroes,1,2,30,30,6+,1.95,,,,
Dungeon Heroes: Expansion Pack,2,2,30,30,,2.3333,,,,
Dungeon Roll,1,4,15,15,6+,1.3393,,,,
Dungeon Time,1,5,10,60,8+,1.9,,,,
Dungeonrunner,1,1,15,15,,2,,,,
Dungeons & Dragons: Castle Ravenloft Board Game,1,5,60,60,10+,2.5104,,,,
Dungeons & Dragons: Temple of Elemental Evil Board Game,1,5,60,60,8+,2.5147,,,,
Dungeons & Dragons: The Legend of Drizzt Board Game,1,5,60,60,10+,2.6052,,,,
Dungeons & Dragons: Tomb of Annihilation Board Game,1,5,60,60,10+,2.7143,,,,
Dungeons & Dragons: Waterdeep - Dungeon of the Mad Mage,1,5,60,60,14+,2.71,,,,
Dungeons & Dragons: Wrath of Ashardalon Board Game,1,5,60,60,10+,2.6241,,,,
Dunkirk: France 1940,2,6,120,180,10+,2.4,,,,
Elder Sign,1,8,90,90,12+,2.3542,,,,
Elder Sign: Gates of Arkham,1,8,90,90,10+,2.5606,,,,
Elder Sign: Grave Consequences,1,8,90,90,10+,2,,,,
Elder Sign: Omens of Ice,1,8,60,90,12+,2.4167,,,,
Elder Sign: Omens of the Deep,1,8,90,90,12+,2.75,,,,
Elder Sign: Omens of the Pharaoh,1,8,60,120,12+,2.5,,,,
Elder Sign: Unseen Forces,1,8,90,90,12+,2.4333,,,,
Eldritch Horror,1,8,120,240,14+,3.3086,,,,
Eldritch Horror: Cities in Ruin,1,8,120,240,14+,2.8889,,,,
Eldritch Horror: Forsaken Lore,1,8,180,180,14+,3.1479,,,,
Eldritch Horror: Masks of Nyarlathotep,1,8,120,240,14+,2.5,,,,
Eldritch Horror: Mountains of Madness,1,8,180,180,14+,3.2609,,,,
Eldritch Horror: Signs of Carcosa,1,8,120,240,12+,2.9167,,,,
Eldritch Horror: Strange Remnants,1,8,120,240,12+,3.122,,,,
Eldritch Horror: The Dreamlands,1,8,120,240,12+,3,,,,
Eldritch Horror: Under the Pyramids,1,8,180,0,14+,3.0833,,,,
Eminent Domain,2,4,45,45,10+,2.5,,,,
Eminent Domain: Battlecruisers,3,5,20,30,13+,2,,,,
Eminent Domain: Exotica,2,5,45,45,13+,2.4,,,,
Eminent Domain: Microcosm,2,2,15,15,13+,1.97,,,,
Enemy Coast Ahead: The Doolittle Raid,1,2,20,360,13+,3.1,,,,
Epic Death!,2,5,30,30,12+,2.0909,,,,
Era of the Ninja,1,4,90,90,,2,,,,
Escape from the Aliens in Outer Space,2,8,20,45,12+,1.84,,,,
Escape Tales: The Awakening,1,4,180,300,12+,2.44,,,,
Escape the Dark Castle,1,4,20,45,12+,1.3659,,,,
Escape the Dark Castle: Adventure Pack 1 – Cult of the Death Knight,1,4,20,45,12+,1,,,,
Escape the Dark Castle: Adventure Pack 2 – Scourge of the Undead Queen,1,4,20,45,,0,,,,
Escape the Dark Castle: Adventure Pack 3 – Blight of the Plague Lord,1,4,20,45,,0,,,,
Escape the Room: Mystery at the Stargazer's Manor,3,8,90,90,8+,1.5161,,,,
Exit: The Game - The Abandoned Cabin,1,6,60,120,12+,2.59,,,,
Exit: The Game - The Pharaoh's Tomb,1,6,60,120,12+,2.59,,,,
Expedition: Northwest Passage,1,4,60,60,12+,2.6765,,,,
Exploding Kittens,2,5,15,15,8+,1.0754,,,,
Fairytale Games: The Battle Royale,1,10,30,30,14+,3.6,,,,
Fairytale Gloom,2,5,30,60,10+,1.6667,,,,
Fallen Angel,2,4,60,180,12–14,3.3636,,,,
Fallout,1,4,120,180,12+,2.9483,,,,
Fallout: New California,1,4,120,180,,3,,,,
Fantasy Defense,1,2,15,20,8+,2.1429,,,,
Fantasy Defense: The Stone King,1,2,15,20,10+,2,,,,
Fate of the Elder Gods,1,4,30,90,13+,3,,,,
Feudum,2,5,80,180,12+,4.54,,,,
Feudum: Alter Ego,2,6,80,180,12+,,,,,
Feudum: Seals & Sirens,2,6,80,180,12+,,,,,
Feudum: The Queen's Army,1,1,80,80,12+,4.5,,,,
Feudum: Windmills & Catapults,2,6,80,180,12+,,,,,
Fidelitas,1,4,30,30,10+,1.8182,,,,
Field Commander: Napoleon,1,1,180,180,14+,2.7841,,,,
Fields of Fire 2,1,1,120,120,12+,3.83,,,,
Final Boss: The card game,1,6,20,60,,0,,,,
Fire in the Lake,1,4,180,180,14+,4.0047,,,,
Fire in the Library,1,6,15,30,,1.1667,,,,
Fire in the Library: Technology,1,6,15,30,,1,,,,
Fireball Island: The Curse of Vul-Kar,2,4,45,60,8+,1.4359,,,,
"Fireball Island: The Curse of Vul-Kar – Crouching Tiger, Hidden Bees!",2,4,30,60,,2,,,,
Fireball Island: The Curse of Vul-Kar – The Last Adventurer,2,5,30,60,,1.3333,,,,
Fireball Island: The Curse of Vul-Kar – Treasure Trove,2,4,30,45,,0,,,,
Fireball Island: The Curse of Vul-Kar – Wreck of the Crimson Cutlass,2,4,30,60,,1.5,,,,
Firefly: The Game,1,5,120,240,12+,2.9428,,,,
Firelight,2,4,60,90,13+,,,,,
Fireteam Zero,1,4,90,90,12+,2.6774,,,,
Fireteam Zero: Fireteam Delta Female Hero Pack,1,4,90,90,,0,,,,
First Martians: Adventures on the Red Planet,1,4,60,90,14+,4.1667,,,,
First Orchard,1,4,10,10,2+,1,,,,
Flamme Rouge,2,4,30,45,8+,1.6923,,,,
Flamme Rouge: Peloton,1,12,30,60,8+,1.89,,,,
Flash Point: Fire Rescue,2,6,45,45,8+,2.2114,,,,
Flash Point: Fire Rescue – 2nd Story,2,6,45,45,10+,2.2222,,,,
Flash Point: Fire Rescue – Dangerous Waters,2,6,45,45,10+,2.3478,,,,
Flash Point: Fire Rescue – Tragic Events,2,6,45,0,14,2.6667,,,,
Fleet: The Dice Game,1,4,30,45,8+,2.6,,,,
Flip City,1,4,30,50,10+,1.7423,,,,
Flip City: Reuse,1,4,30,50,8,2,,,,
Folklore: The Affliction,1,5,90,120,14+,3.5946,,,,
Forbidden Desert,2,5,45,45,8+,2.0473,,,,
Forbidden Fortress,1,4,120,120,12+,3.25,,,,
Forbidden Island,2,4,30,30,8+,1.742,,,,
Forbidden Sky,2,5,60,60,8+,2.75,,,,
Fortune and Glory: Rise of the Crimson Hand,1,8,120,120,,2.9286,,,,
Fortune and Glory: The Cliffhanger Game,1,8,90,240,10+,2.8632,,,,
Founders of Gloomhaven,1,4,90,120,14+,4.0896,,,,
Four Against Darkness,1,1,45,75,8+,2.1538,,,,
Four Against Darkness: Buried Secrets,1,1,30,60,12+,2,,,,
Four Against Darkness: Caverns of Chaos,1,1,45,75,,0,,,,
Four Against Darkness: Caves of the Kobold Slave-Masters,1,1,0,0,,0,,,,
Four Against Darkness: Dark Waters,1,1,45,0,,0,,,,
Four Against Darkness: Fiendish Foes,1,1,30,75,,0,,,,
Four Against Darkness: Four Against the Abyss,1,1,45,75,,0,,,,
Four Against Darkness: Four Against the Netherworld,1,1,60,120,,0,,,,
Four Against Darkness: Man-Eater,1,4,60,90,,0,,,,
Four Against Darkness: The Courtship of the Flower Demons,1,1,45,75,,0,,,,
Four Against Darkness: The Crucible of Classic Critters,1,1,45,75,10,0,,,,
Four Against Darkness: The Knight of Destiny,1,1,45,60,,0,,,,
Four Against Darkness: The Three Rings,1,1,45,90,,0,,,,
Four Against Darkness: Treasure Hunters of Charlemagne,1,1,60,120,,0,,,,
Four Against the Titans,1,4,0,0,,2,,,,
Freedom: The Underground Railroad,1,4,60,120,12+,2.9133,,,,
Friday,1,1,25,25,10+,2.1256,,,,
Fury of Dracula (third/fourth edition),2,5,120,180,12+,3.2048,,,,
FUSE,1,5,10,10,8+,1.7129,,,,
Galaxy Defenders,1,5,120,120,12+,3.1765,,,,
Galaxy Trucker,2,4,60,60,10+,2.32,,,,
Gandhi: The Decolonization of British India,1,4,90,240,14+,4,,,,
Gem Rush,1,6,45,45,8+,1.8182,,,,
Ghost Fightin' Treasure Hunters,2,4,30,30,6+,1.6351,,,,
Ghost Stories,1,4,60,60,12+,2.9118,,,,
Ghostbusters: The Board Game,1,4,30,120,8+,2.2308,,,,
Glass Road,1,4,20,80,12+,2.9725,,,,
Gloom of Kilforth: A Fantasy Quest Game,1,4,60,180,12+,3.0968,,,,
Gloom of Kilforth: Encounters Expansion Pack,1,4,60,180,,0,,,,
Gloomhaven,1,4,60,120,14+,3.7895,,,,
Go Nuts for Donuts,2,6,20,20,6+,1.0476,,,,
Gobblin' Goblins,2,12,20,30,,0,,,,
Gravwell: Escape from the 9th Dimension,1,4,20,35,8+,1.7523,,,,
Greenland,1,3,60,120,14+,3.2289,,,,
Grimslingers,1,6,15,90,12+,2.75,,,,
Grimslingers: Advanced Duels,1,2,10,20,,0,,,,
Grimslingers: The Northern Territory,1,4,15,90,,3,,,,
Groves,1,4,60,60,10+,2.4,,,,
Hail Hydra,5,8,40,75,14+,1.88,,,,
Hand of Fate: Ordeals,1,4,30,120,14+,2.8571,,,,
Hand of Fate: Ordeals – Royalty Expansion,1,4,30,120,,0,,,,
Healthy Heart Hospital,1,5,60,90,10+,2.9048,,,,
Helionox: Deluxe Edition,1,4,30,90,12+,2.8571,,,,
Herbaceous,1,4,15,20,6+,1.1458,,,,
Herbaceous: Flavor Pack Mini Expansion,1,4,15,20,,1,,,,
Hero's Journey Home,1,3,30,45,10+,2,,,,
Hero's Journey Home: Gods of Man and More,1,3,30,60,,0,,,,
Heroes of Terrinoth,1,4,30,60,12+,2.4688,,,,
Heroes Wanted,1,5,45,45,10+,2.5921,,,,
HEXplore It: The Forest of Adrimon,1,7,60,180,12+,3,,,,
HEXplore It: The Valley of the Dead King,1,7,60,180,10+,3.1,,,,
Historia,1,6,30,180,12+,3.1096,,,,
Hit Z Road,1,4,30,60,10+,1.881,,,,
Holding On: The Troubled Life of Billy Kerr,2,4,45,60,12+,2.1429,,,,
Holmes: Sherlock & Mycroft,2,2,20,30,10+,1.86,,,,
Honey Wars,2,4,30,45,8+,1.17,,,,
Hoplomachus: Origins,1,2,15,30,12+,3.0455,,,,
Hornet Leader: Carrier Air Operations,1,1,60,60,14+,2.8144,,,,
Hostage Negotiator,1,1,20,20,14+,1.9667,,,,
Hostage Negotiator: Abductor Pack 1,1,1,10,30,12+,2.3333,,,,
Hostage Negotiator: Abductor Pack 2,1,1,10,30,14+,2.3333,,,,
Hostage Negotiator: Abductor Pack 3,1,1,15,30,12+,2.5,,,,
Hostage Negotiator: Abductor Pack 4,1,1,15,30,,3,,,,
Hostage Negotiator: Abductor Pack 5,1,1,20,0,,3,,,,
Hostage Negotiator: Abductor Pack 6,1,1,20,0,,3,,,,
Hostage Negotiator: Abductor Pack 7,1,1,20,0,,3,,,,
Hostage Negotiator: Abductor Pack 8,1,1,20,0,,3,,,,
Hostage Negotiator: Crime Wave,1,1,20,20,14+,2,,,,
Hostage Negotiator: Demand Pack #1,1,1,20,20,,3,,,,
Hotshots,1,4,60,60,10+,2.25,,,,
Hyperborea,2,6,50,150,12+,3.1624,,,,
Impact City Roller Derby,2,4,120,120,10+,2.5,,,,
Imperial Settlers,1,4,45,90,12+,2.7759,,,,
Imperial Settlers: Roll & Write,1,4,30,30,10+,2,,,,
In Tenebris Lux,1,4,0,60,14+,2,,,,
Incursion,2,2,120,120,12+,2.7714,,,,
Infection: Humanity's Last Gasp,1,1,45,45,10+,2.1111,,,,
